IP;BAN_DATE;UNBAN_DATE;REASON
1.9.30.98;1482425822;1482512224;"Брутфорс атака на сайт lider-oriflame.com/Brute force attack on site lider-oriflame.com"
1.9.96.13;1482434702;1482521109;"Паразитный трафик на сайт smartcarbon.tech / Parasite traffic on site smartcarbon.tech"
1.20.101.25;1482118563;1484710563;"Паразитный трафик на сайт firma-dveri.ru / Parasite traffic on site firma-dveri.ru"
1.22.91.111;1481272622;1483864625;"Паразитный трафик на сайт mebel-market.dn.ua / Parasite traffic on site mebel-market.dn.ua"
1.52.22.172;1482420184;1482506588;"Паразитный трафик на сайт coalbossapp.com / Parasite traffic on site coalbossapp.com"
1.52.32.208;1482425042;1482511446;"Паразитный трафик на сайт govnostroi.ru / Parasite traffic on site govnostroi.ru"
1.52.192.184;1482379443;1482465843;"Паразитный трафик на сайт firma-dveri.ru / Parasite traffic on site firma-dveri.ru"
1.52.237.67;1482431882;1482518286;"Паразитный трафик на сайт govnostroi.ru / Parasite traffic on site govnostroi.ru"
1.54.114.240;1482424265;1482510674;"Паразитный трафик на сайт smartcarbon.tech / Parasite traffic on site smartcarbon.tech"
1.54.211.236;1482425042;1482511446;"Паразитный трафик на сайт govnostroi.ru / Parasite traffic on site govnostroi.ru"
1.55.75.92;1482431882;1482518286;"Паразитный трафик на сайт govnostroi.ru / Parasite traffic on site govnostroi.ru"
1.55.77.72;1482424322;1482510728;"Паразитный трафик на сайт coalbossapp.com / Parasite traffic on site coalbossapp.com"
1.55.89.107;1479993902;1482585903;"Паразитный трафик на сайт firma-dveri.ru / Parasite traffic on site firma-dveri.ru"
1.55.98.237;1482425042;1482511446;"Паразитный трафик на сайт govnostroi.ru / Parasite traffic on site govnostroi.ru"
1.55.212.255;1482203763;1482808563;"Паразитный трафик на сайт firma-dveri.ru / Parasite traffic on site firma-dveri.ru"
1.174.28.106;1482441663;1482528063;"Паразитный трафик на сайт firma-dveri.ru / Parasite traffic on site firma-dveri.ru"
1.179.240.53;1482412802;1482499203;"Паразитный трафик на сайт firma-dveri.ru / Parasite traffic on site firma-dveri.ru"
1.186.37.1;1482395103;1482481505;"Брутфорс атака на сайт nikonko.clinic/Brute force attack on site nikonko.clinic"
1.186.142.187;1482445623;1482532029;"Паразитный трафик на сайт govnostroi.ru / Parasite traffic on site govnostroi.ru"
1.234.22.222;1482421382;1482507785;"Брутфорс атака на сайт duevelsdorf.com.ua/Brute force attack on site duevelsdorf.com.ua"
